id,address,power,heart_rate,step,temperature,systolic_pressure,diastolic_pressure,accx,accy,accz,gyroscopex,gyroscopey,gyroscopez,stay,sos,elock_open_illegal_warn,timestamp,bs_address,sample_time,sample_batch
4209,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,4448,-2092,-16470,-226,90,27,0,NULL,NULL,1666594815043,01370022,"2022-10-24,15:00:58",28
4210,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-46,-908,-16516,-34,-44,-25,0,NULL,NULL,1666594815185,01370022,"2022-10-24,15:00:58",28
4211,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-339,-965,-14660,165,-4,198,0,NULL,NULL,1666594815326,01370022,"2022-10-24,15:00:59",28
4212,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2120,-1739,-15062,-9,-138,32,0,NULL,NULL,1666594815461,01370022,"2022-10-24,15:00:59",28
4213,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2618,-741,-15485,49,-139,-4,0,NULL,NULL,1666594815574,01370022,"2022-10-24,15:00:59",28
4214,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2903,-1391,-17526,43,26,-145,0,NULL,NULL,1666594815716,01370022,"2022-10-24,15:00:59",28
4215,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1737,-2040,-19094,67,-76,-103,0,NULL,NULL,1666594815827,01370022,"2022-10-24,15:00:59",28
4216,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,256,-767,-15673,-143,220,-171,0,NULL,NULL,1666594815970,01370022,"2022-10-24,15:00:59",28
4217,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1435,-1178,-13875,8,-40,77,0,NULL,NULL,1666594816114,01370022,"2022-10-24,15:00:59",28
4218,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1754,-1385,-15527,-74,-131,108,0,NULL,NULL,1666594816227,01370022,"2022-10-24,15:00:59",28
4219,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3042,-1270,-16727,-72,-46,45,0,NULL,NULL,1666594816358,01370022,"2022-10-24,15:01:00",28
4220,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2111,-1429,-18111,-230,59,49,0,NULL,NULL,1666594816490,01370022,"2022-10-24,15:01:00",28
4221,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-868,-879,-15416,-16,38,57,0,NULL,NULL,1666594816614,01370022,"2022-10-24,15:01:00",28
4222,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1555,-159,-12580,0,-42,84,0,NULL,NULL,1666594816747,01370022,"2022-10-24,15:01:00",28
4223,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,872,-1660,-17181,78,-268,99,0,NULL,NULL,1666594816861,01370022,"2022-10-24,15:01:00",28
4224,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2690,-734,-14466,132,3,-63,0,NULL,NULL,1666594816976,01370022,"2022-10-24,15:01:00",28
4225,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1402,-1217,-17628,171,73,-130,0,NULL,NULL,1666594817092,01370022,"2022-10-24,15:01:00",28
4226,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,828,-1763,-18545,61,16,-270,0,NULL,NULL,1666594817219,01370022,"2022-10-24,15:01:00",28
4227,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,373,-2517,-12992,-138,213,-272,0,NULL,NULL,1666594817337,01370022,"2022-10-24,15:01:01",28
4228,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1767,-2272,-17476,-110,-78,-211,0,NULL,NULL,1666594817458,01370022,"2022-10-24,15:01:01",28
4229,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2140,-1567,-12974,-41,-108,-70,0,NULL,NULL,1666594817574,01370022,"2022-10-24,15:01:01",28
4230,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1990,-2109,-15187,-35,-134,124,0,NULL,NULL,1666594817698,01370022,"2022-10-24,15:01:01",28
4231,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1592,-2018,-16873,-78,-147,249,0,NULL,NULL,1666594817836,01370022,"2022-10-24,15:01:01",28
4232,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2001,-1477,-18467,-176,-168,107,0,NULL,NULL,1666594817979,01370022,"2022-10-24,15:01:01",28
4233,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2114,-1404,-16936,-108,35,151,0,NULL,NULL,1666594818096,01370022,"2022-10-24,15:01:01",28
4234,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-877,-1292,-14593,72,53,243,0,NULL,NULL,1666594818228,01370022,"2022-10-24,15:01:01",28
4235,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2019,-1706,-14297,124,-225,150,0,NULL,NULL,1666594818363,01370022,"2022-10-24,15:01:02",28
4236,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2816,-633,-14971,219,97,-49,0,NULL,NULL,1666594818504,01370022,"2022-10-24,15:01:02",28
4237,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,398,-2987,-19016,239,-41,-79,0,NULL,NULL,1666594818633,01370022,"2022-10-24,15:01:02",28
4238,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1962,-3186,-21524,13,-99,-167,0,NULL,NULL,1666594818761,01370022,"2022-10-24,15:01:02",28
4239,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2163,-2114,-16785,-61,-146,-197,0,NULL,NULL,1666594818886,01370022,"2022-10-24,15:01:02",28
4240,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1012,-2655,-12423,4,15,-130,0,NULL,NULL,1666594819020,01370022,"2022-10-24,15:01:02",28
4241,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1942,-3254,-15705,-168,-60,59,0,NULL,NULL,1666594819155,01370022,"2022-10-24,15:01:02",28
4242,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1222,-3181,-17599,-113,-69,-25,0,NULL,NULL,1666594819278,01370022,"2022-10-24,15:01:03",28
4243,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1936,356,-18646,-267,152,-186,0,NULL,NULL,1666594819399,01370022,"2022-10-24,15:01:03",28
4244,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-883,-1189,-16868,37,160,93,0,NULL,NULL,1666594819524,01370022,"2022-10-24,15:01:03",28
4245,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-1850,-12,-16651,143,-73,199,0,NULL,NULL,1666594819655,01370022,"2022-10-24,15:01:03",28
4246,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,798,-1728,-14716,6,-43,108,0,NULL,NULL,1666594819785,01370022,"2022-10-24,15:01:03",28
4247,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1414,-1357,-15639,88,-210,-25,0,NULL,NULL,1666594819896,01370022,"2022-10-24,15:01:03",28
4248,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,665,-2405,-16539,109,-96,-386,0,NULL,NULL,1666594820018,01370022,"2022-10-24,15:01:03",28
4249,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1527,-1907,-16509,145,-138,-774,0,NULL,NULL,1666594820134,01370022,"2022-10-24,15:01:03",28
4250,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2833,-3510,-19301,-5,-242,-673,0,NULL,NULL,1666594820251,01370022,"2022-10-24,15:01:04",28
4251,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-507,-2945,-13630,-71,-90,-498,0,NULL,NULL,1666594820372,01370022,"2022-10-24,15:01:04",28
4252,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-34,-3154,-13894,65,-164,-126,1,NULL,NULL,1666594820497,01370022,"2022-10-24,15:01:04",28
4253,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,524,-3053,-16062,-29,-112,21,0,NULL,NULL,1666594820616,01370022,"2022-10-24,15:01:04",28
4254,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,503,-4208,-15163,-57,-43,17,0,NULL,NULL,1666594820738,01370022,"2022-10-24,15:01:04",28
4255,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,868,-3668,-16998,-220,-3,-224,0,NULL,NULL,1666594820853,01370022,"2022-10-24,15:01:04",28
4256,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1813,-2552,-15530,-309,81,-438,0,NULL,NULL,1666594820975,01370022,"2022-10-24,15:01:04",28
4257,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2085,-2069,-19991,-283,5,-650,0,NULL,NULL,1666594821104,01370022,"2022-10-24,15:01:04",28
4258,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-251,205,-14339,-152,346,-740,0,NULL,NULL,1666594821219,01370022,"2022-10-24,15:01:04",28
4259,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-550,-1303,-14268,68,78,-919,0,NULL,NULL,1666594821327,01370022,"2022-10-24,15:01:05",28
4260,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-875,-1257,-16609,197,-109,-1271,0,NULL,NULL,1666594821465,01370022,"2022-10-24,15:01:05",28
4261,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-872,-865,-15953,193,-122,-1535,1,NULL,NULL,1666594821591,01370022,"2022-10-24,15:01:05",28
4262,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-662,90,-16381,227,-173,-1678,0,NULL,NULL,1666594821725,01370022,"2022-10-24,15:01:05",28
4263,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-707,-268,-14493,174,-87,-1586,0,NULL,NULL,1666594821844,01370022,"2022-10-24,15:01:05",28
4264,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-2258,-4837,-16562,38,-369,-1260,0,NULL,NULL,1666594821968,01370022,"2022-10-24,15:01:05",28
4265,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-818,-4196,-15973,158,-349,-1383,0,NULL,NULL,1666594822111,01370022,"2022-10-24,15:01:05",28
4266,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,804,-884,-17202,63,-81,-1155,0,NULL,NULL,1666594822255,01370022,"2022-10-24,15:01:06",28
4267,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1437,-2411,-15053,41,44,-825,0,NULL,NULL,1666594822367,01370022,"2022-10-24,15:01:06",28
4268,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,653,-3640,-16439,63,-40,-367,0,NULL,NULL,1666594822504,01370022,"2022-10-24,15:01:06",28
4269,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1181,-3465,-14799,-60,-11,-338,0,NULL,NULL,1666594822620,01370022,"2022-10-24,15:01:06",28
4270,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1198,-2775,-15775,-262,-26,-406,0,NULL,NULL,1666594822759,01370022,"2022-10-24,15:01:06",28
4271,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,945,-2567,-16314,-205,-28,-254,1,NULL,NULL,1666594822904,01370022,"2022-10-24,15:01:06",28
4272,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,878,-1008,-15838,-181,38,-265,0,NULL,NULL,1666594823033,01370022,"2022-10-24,15:01:06",28
4273,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,-231,-1226,-15142,-115,15,-276,0,NULL,NULL,1666594823155,01370022,"2022-10-24,15:01:06",28
4274,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,516,-265,-16001,-60,-38,-484,0,NULL,NULL,1666594823296,01370022,"2022-10-24,15:01:07",28
4275,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,515,-1077,-16342,-158,-11,-544,0,NULL,NULL,1666594823417,01370022,"2022-10-24,15:01:07",28
4332,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2215,136,-16471,-138,-34,-27,0,NULL,NULL,1666596514545,01370022,"2022-10-24,15:29:18",29
4333,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1506,-1109,-15501,21,-14,126,0,NULL,NULL,1666596514682,01370022,"2022-10-24,15:29:18",29
4334,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2314,-276,-17260,-78,-55,17,0,NULL,NULL,1666596514807,01370022,"2022-10-24,15:29:18",29
4335,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1862,-686,-16393,-32,65,-55,0,NULL,NULL,1666596514945,01370022,"2022-10-24,15:29:18",29
4336,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2069,-771,-15781,99,-87,-28,1,NULL,NULL,1666596515074,01370022,"2022-10-24,15:29:18",29
4337,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1675,-1191,-17262,73,56,23,0,NULL,NULL,1666596515346,01370022,"2022-10-24,15:29:19",29
4338,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1506,-1183,-14142,7,273,-153,0,NULL,NULL,1666596515475,01370022,"2022-10-24,15:29:19",29
4339,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,1939,-883,-16031,23,-90,-20,0,NULL,NULL,1666596515603,01370022,"2022-10-24,15:29:19",29
4340,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,2475,-858,-15961,27,3,24,1,NULL,NULL,1666596515745,01370022,"2022-10-24,15:29:19",29
4341,03D2C30A,NULL,NULL,661,NULL,NULL,NULL,3073,-1199,-16615,-1,-34,30,0,NULL,NULL,1666596516007,01370022,"2022-10-24,15:29:19",29
